순번,시리얼번호,사이트명,자치구,주소,구분,높이,위도,경도
1,OC3CL200010,4024,서울대공원,경기도 과천시 대공원광장로 102,유동인구,3.5,37.42877164,127.0160739
2,OC3CL200011,4025,서울대공원,경기도 과천시 대공원광장로 102,유동인구,4,37.42201307,127.0242658
3,OC3CL200012,4019,광진구,서울특별시 광진구 화양동 34-75,유동인구,4,37.54400194,127.0697313
4,OC3CL200013,4040,종로구,서울특별시 종로구 삼청동 35-63,유동인구,3,37.58346942,126.9826224
5,OC3CL200014,4043,중구,서울특별시 중구 명동1가 53-1,유동인구,3.3,37.56357368,126.9845038
6,OC3CL200015,4005,강남구,서울특별시 강남구 신사동 532-12,유동인구,3.4,37.52338411,127.0224148
7,OC3CL200016,4007,강남구,서울특별시 강남구 신사동 657-37,유동인구,3.8,37.52588867,127.0391258
8,OC3CL200017,4008,강동구,서울특별시 강동구 성내동 448-8,유동인구,4.5,37.52411075,127.1286688
9,OC3CL200018,4032,성동구,서울특별시 성동구 성수동1가 685-285,유동인구,3.6,37.54688198,127.0416428
10,OC3CL200019,4035,용산구,서울특별시  용산구 이태원동 239-4,유동인구,3.2,37.54026442,126.9937934
11,OC3CL200020,4001,강남구,서울특별시 강남구 역삼동 814-6,유동인구,3.3,37.50127401,127.0263768
12,OC3CL200021,4002,강남구,서울특별시 강남구 신사동 581-6,유동인구,4.5,37.52553243,127.0282295
13,OC3CL200022,4003,강남구,서울특별시 강남구 대치동 889-45,유동인구,3.7,37.50309199,127.0498755
14,OC3CL200023,4004,강남구,서울특별시 강남구 대치동 890-57,유동인구,3.7,37.50359652,127.0515922
15,OC3CL200024,4006,강남구,서울특별시 강남구 신사동 541-17,유동인구,3.4,37.51839242,127.0234226
16,OC3CL200025,4014,강서구,서울특별시 강서구 마곡동 727-709,유동인구,3.8,37.56003441,126.8258759
17,OC3CL200026,4015,강서구,서울특별시 강서구 마곡동 367-11,유동인구,3.9,37.56668094,126.8261217
18,OC3CL200027,4016,강서구,서울특별시 강서구 마곡동 727-1214,유동인구,3.9,37.55904218,126.8360833
19,OC3CL200028,4018,관악구,서울특별시 관악구 봉천동 1603-4,유동인구,3.3,37.47915422,126.9537097
20,OC3CL200029,4020,광진구,서울특별시 광진구 구의동 246-8,유동인구,4.5,37.53768025,127.0852125
21,OC3CL200030,4021,도봉구,서울특별시 도봉구 창동 57-11,유동인구,3.5,37.64583144,127.05039
22,OC3CL200031,4023,서대문구,서울특별시  서대문구 홍제동 286-27,유동인구,3,37.59822113,126.9490369
23,OC3CL200032,4031,성동구,서울특별시  성동구 성수동1가 685-700,유동인구,3.7,37.54529625,127.0435571
24,OC3CL200033,4033,송파구,서울특별시 송파구 신천동 32,유동인구,3.8,37.51214275,127.1043154
25,OC3CL200034,4034,양천구,서울특별시 양천구 신정동 994-1,유동인구,4,37.52591806,126.8635581
26,OC3CL200035,4036,은평구,서울특별시 은평구 갈현동 465-3,유동인구,3.4,37.6113036,126.917502
27,OC3CL200036,4037,은평구,서울특별시 은평구 녹번동 153-46 ,유동인구,2.4,37.60514575,126.9235772
28,OC3CL200037,4038,종로구,서울특별시 종로구 가회동 60,유동인구,4,37.58142997,126.9846468
29,OC3CL200038,4039,종로구,서울특별시 종로구 가회동 33-13,유동인구,3.3,37.58233107,126.983559
30,OC3CL200039,4041,종로구,서울특별시 종로구 동숭동 50-135,유동인구,2.4,37.57878614,127.0071882
31,OC3CL200040,4042,종로구,서울특별시 종로구 이화동 9-498,유동인구,3,37.5777396,127.0080332
32,OC3CL200041,4045,중구,서울특별시 중구 남대문로2가 123,유동인구,4.5,37.56384606,126.9818665
33,OC3CL200042,4046,중구,서울특별시 중구 을지로6가 18-185,유동인구,4.1,37.56786992,127.0086311
34,OC3CL200043,4047,중구,서울특별시 중구 신당동 204-9,유동인구,4.1,37.56772879,127.0126695
35,OC3CL200044,4048,중구,서울특별시  중구 남창동 31-1,유동인구,3.4,37.56040912,126.978669
36,OC3CL200045,4013,강서구,서울특별시 강서구 방화동 830-9,유동인구,2.8,37.57782669,126.8133372
37,OC3CL200046,4017,강서구,서울특별시 강서구 등촌3동 78-7,유동인구,3.6,37.56053576,126.8547068
38,OC3CL200047,4044,중구,서울특별시 중구 충무로2가 65-3,유동인구,4.5,37.56160433,126.985559
39,OC3CL200072,4009,강동구,서울특별시 강동구 암사동 139-2,유동인구,4.3,37.55967518,127.1312918
40,OC3CL200074,4010,강동구,서울특별시 강동구 천호동 42,유동인구,4.8,37.54626753,127.1430179
41,OC3CL200075,4030,서초구,서울특별시 서초구 서초4동 1306-1,유동인구,3.7,37.50061909,127.0260189
42,OC3CL200076,4029,서초구,서울특별시 서초구 서초3동 1579-9,유동인구,4,37.48827084,127.0139087
43,OC3CL200077,4027,서초구,서울특별시 서초구 반포3동 75-21,유동인구,4,37.50623299,127.0042288
44,OC3CL200078,4026,서초구,서울특별시 서초구 서초4동 1318-9,유동인구,4.1,37.49793848,127.0268137
45,OC3CL200079,4028,서초구,서울특별시 서초구 방배4동 3001-2,유동인구,3.7,37.48573247,126.9833962
46,OC3CL200096,4022,마포구,서울특별시 마포구 망원동 403-5,유동인구,4,37.55500134,126.9053084
47,OC3CL200100,4012,강북구,서울특별시  강북구 번동 95-7,유동인구,2.3,37.61999399,127.0437864
48,OC3CL200104,4011,강북구,서울특별시 강북구 수유동 32-2,유동인구,3.3,37.64061679,127.021637
49,OC3CL200228,4049,서대문구,서울특별시 서대문구 홍제동 294-46,유동인구,3.5,37.59116011,126.9430063
50,OC3CL200229,4050,서대문구,서울특별시 서대문구 현저동 101,유동인구,2.5,37.57294405,126.9555847
51,V02Q1940076,3007,노원구,서울특별시 노원구 공릉동 587-8,유동인구,3.6,37.62202353,127.0774806
52,V02Q1940117,3034,송파구,서울특별시 송파구 잠실동 284,유동인구,3.5,37.50853713,127.0871417
53,V02Q1940136,2992,구로구,서울특별시 구로구 구로동 733-28,유동인구,4.2,37.48946749,126.8848394
54,V02Q1940140,2995,구로구,서울특별시 구로구 고척동 291-1,유동인구,4.4,37.50248471,126.8510405
55,V02Q1940142,3010,강동구,서울특별시 강동구 암사동 548,유동인구,4.5,37.55054502,127.1278725
56,V02Q1940164,3002,강남구,서울특별시 강남구 개포동 186-19,유동인구,3.8,37.48858687,127.0679878
57,V02Q1940220,3026,금천구,서울특별시 금천구 시흥동 267-9,유동인구,2.5,37.44953803,126.9147027
58,V02Q1940247,3024,금천구,서울특별시 금천구 독산동 독산로54길 114,유동인구,3.5,37.46756391,126.9081023
59,V02Q1940301,3017,동작구,서울특별시 동작구 사당동 91-11,유동인구,3.6,37.48911821,126.9805704
60,V02Q1940346,2997,강서구,서울특별시 강서구 화곡동 361-1,유동인구,3.3,37.53438349,126.8379965
61,V02Q1940448,3020,강북구,서울특별시 강북구 수유동 54-5,유동인구,3.6,37.63075938,127.0235503
62,V02Q1940449,3028,마포구,서울특별시 마포구 망원동 403-2,유동인구,3.9,37.55579118,126.9059871
63,V02Q1940515,2996,구로구,서울특별시 구로구 고척동 291-1,유동인구,4.2,37.50174862,126.8507697
64,V02Q1940517,3031,관악구,서울특별시 관악구 신원로 3다길 1,유동인구,3.9,37.48248622,126.9264971
65,V02Q1940656,3025,금천구,서울특별시 금천구 가산동 가산로5길 43,유동인구,2.8,37.47351068,126.8921347
66,V02Q1940658,3032,관악구,서울특별시 관악구 신림동 1586-1,유동인구,3.7,37.48355726,126.9256695
67,V02Q1940665,3021,도봉구,서울특별시 도봉구 창동 445-22,유동인구,2.8,37.64068341,127.0354904
68,V02Q1940711,3029,마포구,서울특별시 마포구 서교동 485-23,유동인구,4,37.553799,126.9123651
69,V02Q1940724,2999,강남구,서울특별시 강남구 역삼동 805-36,유동인구,3.7,37.49732201,127.0513158
70,V02Q1940727,3003,중랑구,서울특별시 중랑구 중화동 65-9,유동인구,3.9,37.60504697,127.0762879
71,V02Q1940746,3019,강북구,서울특별시 강북구 수유동 55-7,유동인구,3.3,37.6321897,127.021742
72,V02Q1940747,3015,동작구,서울특별시 동작구 상도동 518-7,유동인구,4,37.499726,126.9513962
73,V02Q1940756,3013,동작구,서울특별시 동작구 상도동 248-16,유동인구,3.8,37.50007359,126.9324381
74,V02Q1940770,3009,강동구,서울특별시 강동구 암사동 496-25,유동인구,3.4,37.5498763,127.1294778
75,V02Q1940783,3023,도봉구,서울특별시 도봉구 창동 445-10,유동인구,3,37.6396453,127.0380532
76,V02Q1940799,3041,도봉구,서울특별시 도봉구 창동 557-72,유동인구,3.7,37.6378168,127.038271
77,V02Q1940808,3035,종로구,서울특별시 종로구 신문로2가 6-3,유동인구,3.7,37.56874524,126.9687649
78,V02Q1940846,2993,도봉구,서울특별시 도봉구 창동 542-1,유동인구,2.9,37.63739638,127.0390037
79,V02Q1940851,3008,강동구,서울특별시 강동구 암사동 501-4,유동인구,3.2,37.55039085,127.1282922
80,V02Q1940853,2998,강서구,서울특별시 강서구 화곡동 668-10,유동인구,3.4,37.53521949,126.8398536
81,V02Q1940858,2994,구로구,서울특별시 구로구 구로동 762,유동인구,4,37.48821616,126.8851381
82,V02Q1940860,3012,광진구,서울특별시 광진구 자양동 720,유동인구,4.3,37.5334424,127.0809633
83,V02Q1940862,3040,구로구,서울특별시 구로구 구로동 735-16,유동인구,3.5,37.48887854,126.8851157
84,V02Q1940885,3005,노원구,서울특별시 노원구 상계동 1318-1,유동인구,3.2,37.65989698,127.0685417
85,V02Q1940888,3011,광진구,서울특별시 광진구 중곡동 265-5,유동인구,4.3,37.56307353,127.0819947
86,V02Q1940889,3022,도봉구,서울특별시 도봉구 창동 585-13,유동인구,3.7,37.63994636,127.0360107
87,V02Q1940941,3033,송파구,서울특별시 송파구 잠실동 205-17,유동인구,4.1,37.50908813,127.0840569
88,V02Q1940942,3037,양천구,서울특별시 양천구 신월동 805,유동인구,5.2,37.53246263,126.8330763
89,V02Q1940943,3039,양천구,서울특별시 양천구 목동 616-15,유동인구,4.3,37.54850717,126.8646481
90,V02Q1940944,3004,중랑구,서울특별시 중랑구 묵동 249-24,유동인구,3.9,37.60504164,127.0754326
91,V02Q1940945,3030,마포구,서울특별시 마포구 망원동 403-6,유동인구,3.2,37.55524371,126.9069028
92,V02Q1940946,3036,양천구,서울특별시 양천구 신월동 796,유동인구,3.9,37.534444,126.8347904
93,V02Q1940947,3014,동작구,서울특별시 동작구 상도동 518-7,유동인구,3.8,37.4990258,126.9520123
94,V02Q1940948,3027,금천구,서울특별시 금천구 독산4동 371-2,유동인구,1,37.47007655,126.907223
95,V02Q1940949,3018,강북구,서울특별시 강북구 수유동 55-7,유동인구,3.3,37.6303757,127.0226279
96,V02Q1940950,3006,노원구,서울특별시 노원구 공릉동 552-4,유동인구,3.6,37.62280993,127.0749633
97,V02Q1940951,3038,양천구,서울특별시 양천구 신월동 802,유동인구,4,37.53124609,126.8361285
98,V02Q1940952,3016,동작구,서울특별시 동작구 사당동 708-646,유동인구,4,37.48870857,126.9786333
99,V02Q1940953,3001,강남구,서울특별시 강남구 개포동 186-19,유동인구,4.4,37.48903041,127.0678834
100,V02Q1940954,3000,강남구,서울특별시 강남구 논현동 280,유동인구,3.7,37.508671,127.0227914